root,phases
HeteroTokenEmbeddingPrimitiveV3,1
HeteroQwen2DecoderBlockPrimitiveV3,26
HeteroQwen35DenseAttentionPrimitiveV3,21
HeteroGatedDeltaNetPrimitiveV3,34
HeteroMoePrimitiveV3,26
HeteroQwen38GatedResidualReadPrimitiveV3,13
HeteroQwen38GatedResidualWritePrimitiveV3,15
HeteroPlePrimitiveV3,23
HeteroQsaPrimitiveV3,40
HeteroQwen38FinalHyperMergePrimitiveV3,10
HeteroVisionPatchEmbedPrimitiveV3,3
HeteroVisionTransformerBlockPrimitiveV3,15
HeteroVisionPatchMergePrimitiveV3,6
HeteroMultimodalInjectPrimitiveV3,2
HeteroFinalNormPrimitiveV3,1
HeteroLmHeadArgmaxPrimitiveV3,2
HeteroMtpDraftPrimitiveV3,9
HeteroMtpVerifyResolvePrimitiveV3,5
