model,operator,owner,root
qwen2_1p5b,token_embedding,memory,HeteroTokenEmbeddingPrimitiveV3
qwen2_1p5b,input_rmsnorm,sfu,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,q_projection,matrix,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,k_projection,matrix,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,v_projection,matrix,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,q_bias,sfu,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,k_bias,sfu,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,v_bias,sfu,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,q_rope,sfu,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,k_rope,sfu,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,kv_append,kv,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,kv_gather,kv,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,gqa_mapping,matrix_kv,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,qk_matmul,matrix,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,attention_scale,sfu,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,causal_mask,sfu,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,online_softmax,attention_sfu,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,pv_matmul,matrix,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,o_projection,matrix,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,attention_residual,sfu,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,post_attention_rmsnorm,sfu,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,mlp_gate_projection,matrix,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,mlp_up_projection,matrix,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,silu,sfu,HeteroQwen2DecoderBlockPrimitiveV3
qwen2_1p5b,swiglu_multiply,sfu,HeteroQwen2DecoderBlockPrimitiveV3
