LAYER_WEIGHT_ID layer=0 salt=0 wq=9183213585421943683 wg=10099582513830593411 wd=6060938776426742659
OWNER_TENSOR pc=0 name=n0 values=2048 bit_differences=0 cycle=19149
OWNER_COMPLETION pc=0 owner=3 signal=1 write_ack_bytes=8192 cycle=19149
OWNER_TENSOR pc=1 name=qraw values=2048 bit_differences=0 cycle=34275
OWNER_COMPLETION pc=1 owner=2 signal=2 write_ack_bytes=8192 cycle=34275
OWNER_TENSOR pc=2 name=qr values=2048 bit_differences=0 cycle=40137
OWNER_COMPLETION pc=2 owner=3 signal=3 write_ack_bytes=8192 cycle=40137
OWNER_TENSOR pc=3 name=q values=2048 bit_differences=0 cycle=46238
OWNER_COMPLETION pc=3 owner=3 signal=4 write_ack_bytes=8192 cycle=46238
OWNER_TENSOR pc=4 name=kraw values=1024 bit_differences=0 cycle=54969
OWNER_COMPLETION pc=4 owner=2 signal=5 write_ack_bytes=4096 cycle=54969
OWNER_TENSOR pc=5 name=kr values=1024 bit_differences=0 cycle=57988
OWNER_COMPLETION pc=5 owner=3 signal=6 write_ack_bytes=4096 cycle=57988
OWNER_TENSOR pc=6 name=k values=1024 bit_differences=0 cycle=61115
OWNER_COMPLETION pc=6 owner=3 signal=7 write_ack_bytes=4096 cycle=61115
OWNER_TENSOR pc=7 name=vraw values=1024 bit_differences=0 cycle=69863
OWNER_COMPLETION pc=7 owner=2 signal=8 write_ack_bytes=4096 cycle=69863
OWNER_TENSOR pc=8 name=v values=1024 bit_differences=0 cycle=72879
OWNER_COMPLETION pc=8 owner=3 signal=9 write_ack_bytes=4096 cycle=72879
OWNER_TENSOR pc=9 name=cache_k values=1024 bit_differences=0 cycle=77500
OWNER_TENSOR pc=9 name=cache_v values=1024 bit_differences=0 cycle=77500
OWNER_COMPLETION pc=9 owner=4 signal=10 write_ack_bytes=8192 cycle=77500
OWNER_COMPLETION pc=10 owner=2 signal=11 write_ack_bytes=0 cycle=319324
OWNER_COMPLETION pc=11 owner=3 signal=12 write_ack_bytes=0 cycle=319326
OWNER_TENSOR pc=12 name=att values=2048 bit_differences=0 cycle=319328
OWNER_COMPLETION pc=12 owner=2 signal=13 write_ack_bytes=8192 cycle=319328
OWNER_TENSOR pc=13 name=o values=2048 bit_differences=0 cycle=334358
OWNER_COMPLETION pc=13 owner=2 signal=14 write_ack_bytes=8192 cycle=334358
OWNER_TENSOR pc=14 name=r values=2048 bit_differences=0 cycle=341014
OWNER_COMPLETION pc=14 owner=3 signal=15 write_ack_bytes=8192 cycle=341014
OWNER_TENSOR pc=15 name=n1 values=2048 bit_differences=0 cycle=360085
OWNER_COMPLETION pc=15 owner=3 signal=16 write_ack_bytes=8192 cycle=360085
OWNER_TENSOR pc=16 name=gate values=4096 bit_differences=0 cycle=387866
OWNER_COMPLETION pc=16 owner=2 signal=17 write_ack_bytes=16384 cycle=387866
OWNER_TENSOR pc=17 name=up values=4096 bit_differences=0 cycle=415652
OWNER_COMPLETION pc=17 owner=2 signal=18 write_ack_bytes=16384 cycle=415652
OWNER_TENSOR pc=18 name=act values=4096 bit_differences=0 cycle=705602
OWNER_COMPLETION pc=18 owner=3 signal=19 write_ack_bytes=16384 cycle=705602
OWNER_TENSOR pc=19 name=down values=2048 bit_differences=0 cycle=733537
OWNER_COMPLETION pc=19 owner=2 signal=20 write_ack_bytes=8192 cycle=733537
OWNER_TENSOR pc=20 name=y values=2048 bit_differences=0 cycle=740085
OWNER_COMPLETION pc=20 owner=3 signal=21 write_ack_bytes=8192 cycle=740085
HOST_BLOCK_ALL_OWNERS_PASS tokens=32 hidden=64 ffn=128 layers=1 host_commands=21 completed=21 owner_jobs=19 matrix_commands=9 sfu_commands=11 kv_commands=1 checked_fp32=39936 bit_differences=0 useful_macs=1247232 executed_macs=3342336 cycles=740086 metadata_reads=236 read_bytes=817920 write_ack_bytes=159744 idma_transfers=15276 request_stalls=6296 response_delay_cycles=45840 host_intermediate_writes=0 legacy_block_launch=0 original_matrix_instances=1 original_idma_instances=1 score_ddr_accesses=0 output_fnv64=9cfe71dec3da5c82
