tensor,ddr_base_hex,reserved_bytes,active_real16_bytes,external_initialization_allowed
wq,0x100000000,9437184,9437184,True
wk,0x100900000,1572864,1572864,True
wv,0x100a80000,1572864,1572864,True
wo,0x100c00000,9437184,9437184,True
wg,0x101500000,55050240,55050240,True
wu,0x104980000,55050240,55050240,True
wd,0x107e00000,55050240,55050240,True
gamma0,0x10b280000,6144,6144,True
gamma1,0x10b281800,6144,6144,True
bq,0x10b283000,6144,6144,True
bk,0x10b284800,1024,1024,True
bv,0x10b284c00,1024,1024,True
cos,0x10b285000,262144,4096,True
sin,0x10b2c5000,262144,4096,True
x,0x10b305000,6291456,98304,True
n0,0x10b905000,6291456,98304,False
qr,0x10bf05000,6291456,98304,False
kr,0x10c505000,1048576,16384,False
v,0x10c605000,1048576,16384,False
q,0x10c705000,6291456,98304,False
k,0x10cd05000,1048576,16384,False
att,0x10ce05000,6291456,98304,False
o,0x10d405000,6291456,98304,False
r,0x10da05000,6291456,98304,False
n1,0x10e005000,6291456,98304,False
gate,0x10e605000,36700160,573440,False
up,0x110905000,36700160,573440,False
act,0x112c05000,36700160,573440,False
down,0x114f05000,6291456,98304,False
y,0x115505000,6291456,98304,False
